sku,total_consumption_value,category,rank,value_share_pct,cumulative_value_pct,sku_share_pct,abc_class
P0014,28305437.31,Toys,1,5.146623809863349,5.146623809863349,5.0,A
P0020,28197743.380000003,Toys,2,5.127042407949451,10.2736662178128,10.0,A
P0011,28185567.73,Electronics,3,5.124828575691561,15.39849479350436,15.0,A
P0016,27873330.65,Groceries,4,5.068056204621975,20.466550998126337,20.0,A
P0015,27794606.14,Furniture,5,5.053742154881339,25.520293153007675,25.0,A
P0005,27704926.17,Groceries,6,5.037436133398082,30.557729286405756,30.0,A
P0009,27691017.41,Furniture,7,5.034907179169334,35.59263646557509,35.0,A
P0013,27575602.0,Groceries,8,5.013921822517689,40.60655828809278,40.0,A
P0004,27516092.5,Electronics,9,5.0031015336008,45.609659821693576,45.0,A
P0010,27481189.05,Toys,10,4.996755229007481,50.60641505070106,50.0,A
P0007,27427445.68,Electronics,11,4.986983364166283,55.593398414867345,55.00000000000001,A
P0019,27423855.5,Clothing,12,4.986330581251562,60.57972899611891,60.0,A
P0017,27354715.51,Clothing,13,4.973759232685186,65.5534882288041,65.0,A
P0006,27221804.32,Groceries,14,4.949592713455695,70.5030809422598,70.0,B
P0001,27160595.95,Groceries,15,4.938463528241035,75.44154447050083,75.0,B
P0003,27066863.81,Groceries,16,4.921420722712536,80.36296519321337,80.0,B
P0008,27039330.68,Electronics,17,4.916414523342919,85.27937971655629,85.0,B
P0012,27012865.03,Clothing,18,4.9116024180593385,90.19098213461564,90.0,C
P0018,27000973.43,Electronics,19,4.909440233068975,95.10042236768462,95.0,C
P0002,26946731.03,Furniture,20,4.899577632315391,100.0,100.0,C
