date,total_units_sold,total_revenue
2022-01-01,419938,23260364.330000002
2022-02-01,391052,21184921.799999997
2022-03-01,426073,24004750.150000002
2022-04-01,407380,22610666.810000002
2022-05-01,414799,22814670.71
2022-06-01,415509,23252972.33
2022-07-01,426628,23598688.79
2022-08-01,424916,23355216.5
2022-09-01,411610,22884181.65
2022-10-01,426863,23459400.16
2022-11-01,414535,23117943.42
2022-12-01,412321,22493540.080000002
2023-01-01,423408,23097494.669999998
2023-02-01,385168,21426404.76
2023-03-01,416522,23353891.46
2023-04-01,401077,22424518.82
2023-05-01,418673,23001347.169999998
2023-06-01,405641,22362607.17
2023-07-01,437919,23687341.35
2023-08-01,416501,22857794.230000004
2023-09-01,405361,22071823.96
2023-10-01,425646,23210850.07
2023-11-01,416126,23059491.759999998
2023-12-01,418672,22949878.4
2024-01-01,13244,688124.3599999999
