warehouse_id,sku,category,lead_time_days,eoq_framework,eoq_blanket,blanket_rop,framework_rop,naive_stockout_days,optimized_stockout_days,naive_service_level_pct,optimized_service_level_pct,naive_avg_inventory,optimized_avg_inventory
S001,P0001,Groceries,4,675,672,1929,904.0,0,5,100.0,99.3,1714.0,733.0
S001,P0002,Furniture,16,657,672,1929,2781.0,105,11,85.6,98.5,490.0,1071.0
S001,P0003,Groceries,4,689,672,1929,918.0,0,8,100.0,98.9,1717.0,727.0
S001,P0004,Electronics,12,680,672,1929,2337.0,38,7,94.8,99.0,687.0,1007.0
S001,P0005,Groceries,4,671,672,1929,885.0,0,3,100.0,99.6,1745.0,720.0
S001,P0006,Groceries,4,657,672,1929,881.0,0,11,100.0,98.5,1758.0,709.0
S001,P0007,Electronics,12,678,672,1929,2286.0,34,6,95.3,99.2,695.0,1001.0
S001,P0008,Electronics,12,674,672,1929,2264.0,41,14,94.4,98.1,723.0,1010.0
S001,P0009,Furniture,16,658,672,1929,2805.0,92,6,87.4,99.2,461.0,1052.0
S001,P0010,Toys,10,653,672,1929,1873.0,5,5,99.3,99.3,955.0,892.0
S001,P0011,Electronics,12,667,672,1929,2214.0,26,11,96.4,98.5,744.0,1005.0
S001,P0012,Clothing,8,658,672,1929,1501.0,0,12,100.0,98.4,1254.0,844.0
S001,P0013,Groceries,4,665,672,1929,889.0,0,8,100.0,98.9,1738.0,724.0
S001,P0014,Toys,10,670,672,1929,1940.0,10,4,98.6,99.5,930.0,922.0
S001,P0015,Furniture,16,679,672,1929,2946.0,133,5,81.8,99.3,413.0,1118.0
S001,P0016,Groceries,4,659,672,1929,885.0,0,9,100.0,98.8,1736.0,690.0
S001,P0017,Clothing,8,670,672,1929,1597.0,0,6,100.0,99.2,1175.0,859.0
S001,P0018,Electronics,12,677,672,1929,2286.0,43,11,94.1,98.5,687.0,1005.0
S001,P0019,Clothing,8,668,672,1929,1586.0,2,10,99.7,98.6,1201.0,875.0
S001,P0020,Toys,10,674,672,1929,1961.0,17,13,97.7,98.2,909.0,948.0
S002,P0001,Groceries,5,702,672,1929,1141.0,0,9,100.0,98.8,1549.0,790.0
S002,P0002,Furniture,17,648,672,1929,2906.0,117,10,84.0,98.6,456.0,1083.0
